,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs,,,,,,,,,,,,,,,,,,,,,
161,277,68139002.96,628491948.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
162,277,68139002.96,117048645.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
163,277,68139002.96,142512589.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
164,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
165,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
166,277,2378699526,98502615.75,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
167,277,68139002.96,248348042.4,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
168,277,68139002.96,120315522.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
169,277,68139002.96,90143923.55,126101524.7,22258486.73,86268564.54,0,0,,,,,,,,,,,,,,,,,,,,,
170,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
171,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
172,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
173,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
174,277,68139002.96,125493001,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
175,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
176,277,68139002.96,90375608.2,126101524.7,22258486.73,95676017.1,0,0,,,,,,,,,,,,,,,,,,,,,
177,277,68139002.96,119291611,126101524.7,22258486.73,1208081965,0,0,,,,,,,,,,,,,,,,,,,,,
178,277,68139002.96,90143923.55,126101524.7,22258486.73,125146521.2,0,0,,,,,,,,,,,,,,,,,,,,,
179,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
180,277,68139002.96,187505932.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
181,277,68139002.96,125484884,126101524.7,22258486.73,90016307.72,0,0,,,,,,,,,,,,,,,,,,,,,
182,277,68139002.96,97978304.95,126101524.7,22258486.73,66938827.81,0,0,,,,,,,,,,,,,,,,,,,,,
183,277,172072410,90143923.55,126101524.7,22258486.73,101960565.6,0,0,,,,,,,,,,,,,,,,,,,,,
184,277,68139002.96,119056503.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
185,277,68139002.96,115807582.4,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
186,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
187,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
188,277,68139002.96,117048645.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
189,277,68139002.96,119324758.3,126101524.7,22258486.73,105819411.9,0,0,,,,,,,,,,,,,,,,,,,,,
190,277,68139002.96,128272327.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
191,277,68139002.96,90296340.93,126101524.7,22258486.73,102938800.8,0,0,,,,,,,,,,,,,,,,,,,,,
192,277,68139002.96,119650740.3,126101524.7,22258486.73,106904923,0,0,,,,,,,,,,,,,,,,,,,,,
193,277,68139002.96,90143923.55,126101524.7,22258486.73,374696421.9,0,0,,,,,,,,,,,,,,,,,,,,,
194,277,68139002.96,90143923.55,126101524.7,26414292.45,126806280.9,0,0,,,,,,,,,,,,,,,,,,,,,
195,277,68139002.96,131385495.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
196,277,68139002.96,122271465.2,126101524.7,22258486.73,80310456.83,0,0,,,,,,,,,,,,,,,,,,,,,
197,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
198,277,68139002.96,135561661,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
199,277,68139002.96,90143923.55,126101524.7,22258486.73,34895237.59,0,0,,,,,,,,,,,,,,,,,,,,,
200,277,68139002.96,993498761.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
201,277,68139002.96,284970395.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
202,277,68139002.96,90143923.55,126101524.7,22258486.73,106734629.6,0,0,,,,,,,,,,,,,,,,,,,,,
203,277,68139002.96,356333705.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
204,277,68139002.96,119131025.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
205,277,68139002.96,90856622.5,126101524.7,22258486.73,34865641.46,0,0,,,,,,,,,,,,,,,,,,,,,
206,277,68139002.96,133214759.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
207,277,68139002.96,90143923.55,126101524.7,22258486.73,136396108.5,0,0,,,,,,,,,,,,,,,,,,,,,
208,277,68139002.96,116956530.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
209,277,68139002.96,120537452.2,126101524.7,22258486.73,82234899.78,0,0,,,,,,,,,,,,,,,,,,,,,
210,277,68139002.96,90295835.39,126101524.7,22258486.73,41425142.48,0,0,,,,,,,,,,,,,,,,,,,,,
211,277,151132829.2,97872700.94,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
212,277,68139002.96,91571889.63,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
213,277,68139002.96,154560266.1,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
214,277,178614427.6,99098554.08,126101524.7,30803343.35,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
215,277,68139002.96,90143923.55,126101524.7,22258486.73,41148340.85,0,0,,,,,,,,,,,,,,,,,,,,,
