,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs
129,277,68139002.95605196,90378624.58227845,126101524.65875304,22258486.725668453,34346432.70284409,0.0,0.0
130,277,68139002.95605196,695933114.7804539,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
131,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,95766891.40440108,0.0,0.0
132,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
133,277,68139002.95605196,104394510.25418252,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
134,277,68139002.95605196,91022699.79740128,126101524.65875304,22258486.725668453,95532269.24799874,0.0,0.0
135,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
136,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
137,277,68139002.95605196,90143923.5488522,126101524.65875304,33018811.385620803,33377116.55719709,0.0,0.0
138,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
139,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,96016079.83951417,0.0,0.0
140,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
141,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,155472107.99677896,0.0,0.0
142,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
143,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
144,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,95477576.99403444,0.0,0.0
145,277,68139002.95605196,114395657.09332836,126101524.65875304,22258486.725668453,94824895.50970829,0.0,0.0
146,277,68139002.95605196,115582330.19120848,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
147,277,68139002.95605196,115579519.64955571,126101524.65875304,22258486.725668453,131775105.85604088,0.0,0.0
148,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,98297472.44233684,0.0,0.0
149,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,39581240.564520106,0.0,0.0
150,277,68139002.95605196,91017905.95774284,126101524.65875304,22258486.725668453,188813153.6607657,0.0,0.0
151,277,68139002.95605196,98318663.09262156,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
152,277,68139002.95605196,127583274.20055288,126101524.65875304,22258486.725668453,331299387.4165306,0.0,0.0
153,277,68139002.95605196,90442804.0152974,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
154,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
155,277,68139002.95605196,96591102.8368261,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
156,277,68139002.95605196,115806549.38110724,126101524.65875304,22258486.725668453,275988336.42211354,0.0,0.0
157,277,68139002.95605196,99492144.66578884,126101524.65875304,22258486.725668453,86956355.96585841,0.0,0.0
158,277,68139002.95605196,125565614.49335933,126101524.65875304,22258486.725668453,116941549.71132606,0.0,0.0
159,277,68139002.95605196,91024511.3865895,126101524.65875304,22258486.725668453,39507633.08499042,0.0,0.0
160,277,68139002.95605196,105064537.96699172,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
161,277,68139002.95605196,628491948.792817,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
162,277,68139002.95605196,117048645.62446848,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
163,277,68139002.95605196,142512589.1285258,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
164,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
165,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
166,277,2378699525.8767424,98502615.74715124,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
167,277,68139002.95605196,248348042.4235564,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
168,277,68139002.95605196,120315522.53786597,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
169,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,86268564.53599015,0.0,0.0
170,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
171,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
172,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
173,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
174,277,68139002.95605196,125493000.96578276,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
175,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
176,277,68139002.95605196,90375608.19624914,126101524.65875304,22258486.725668453,95676017.0980218,0.0,0.0
177,277,68139002.95605196,119291611.03000385,126101524.65875304,22258486.725668453,1208081965.2893102,0.0,0.0
178,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,125146521.152383,0.0,0.0
179,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
180,277,68139002.95605196,187505932.68689084,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
181,277,68139002.95605196,125484884.031735,126101524.65875304,22258486.725668453,90016307.72085321,0.0,0.0
182,277,68139002.95605196,97978304.95183876,126101524.65875304,22258486.725668453,66938827.814699724,0.0,0.0
183,277,172072410.0385799,90143923.5488522,126101524.65875304,22258486.725668453,101960565.62027226,0.0,0.0
184,277,68139002.95605196,119056503.06961036,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
185,277,68139002.95605196,115807582.4296202,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
186,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
187,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
188,277,68139002.95605196,117048645.62446848,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
189,277,68139002.95605196,119324758.25756614,126101524.65875304,22258486.725668453,105819411.92945813,0.0,0.0
190,277,68139002.95605196,128272327.06613798,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
191,277,68139002.95605196,90296340.92776304,126101524.65875304,22258486.725668453,102938800.7766925,0.0,0.0
192,277,68139002.95605196,119650740.29030064,126101524.65875304,22258486.725668453,106904922.9748365,0.0,0.0
193,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,374696421.9011385,0.0,0.0
194,277,68139002.95605196,90143923.5488522,126101524.65875304,26414292.448029965,126806280.89233592,0.0,0.0
195,277,68139002.95605196,131385495.5660228,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
196,277,68139002.95605196,122271465.23824908,126101524.65875304,22258486.725668453,80310456.83144864,0.0,0.0
197,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
198,277,68139002.95605196,135561661.0155549,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
199,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,34895237.59343288,0.0,0.0
200,277,68139002.95605196,993498761.8772818,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
201,277,68139002.95605196,284970395.60606885,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
202,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,106734629.58244967,0.0,0.0
203,277,68139002.95605196,356333705.4831539,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
204,277,68139002.95605196,119131025.33907308,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
205,277,68139002.95605196,90856622.50491214,126101524.65875304,22258486.725668453,34865641.459800296,0.0,0.0
206,277,68139002.95605196,133214759.1608801,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
207,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,136396108.47694108,0.0,0.0
208,277,68139002.95605196,116956530.47145753,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
209,277,68139002.95605196,120537452.23055814,126101524.65875304,22258486.725668453,82234899.77876145,0.0,0.0
210,277,68139002.95605196,90295835.3927164,126101524.65875304,22258486.725668453,41425142.47848491,0.0,0.0
211,277,151132829.18845838,97872700.93905827,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
212,277,68139002.95605196,91571889.63376054,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
213,277,68139002.95605196,154560266.11980718,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
214,277,178614427.5961839,99098554.07988554,126101524.65875304,30803343.34720605,33377116.55719709,0.0,0.0
215,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,41148340.848525904,0.0,0.0
216,277,68139002.95605196,115749296.40325828,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
217,277,68139002.95605196,98501540.33973794,126101524.65875304,22258486.725668453,39016860.31284016,0.0,0.0
218,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
219,277,68139002.95605196,130710726.60338232,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
220,277,68139002.95605196,112561430.53461264,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
221,277,68139002.95605196,122076603.42171694,126101524.65875304,22258486.725668453,520508036.3116046,0.0,0.0
222,277,68139002.95605196,119131025.33907308,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
223,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,43833463.7287661,0.0,0.0
224,277,68139002.95605196,112656588.13974418,126101524.65875304,22258486.725668453,79271643.13970111,0.0,0.0
225,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,209368650.22028336,0.0,0.0
226,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
227,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,35671610.51840354,0.0,0.0
228,277,68139002.95605196,112321591.0191092,126101524.65875304,22258486.725668453,66468584.339181066,0.0,0.0
229,277,68139002.95605196,96578528.9690459,126101524.65875304,22258486.725668453,93859350.69757856,0.0,0.0
230,277,68139002.95605196,96547698.84922086,126101524.65875304,22258486.725668453,85009828.42949122,0.0,0.0
231,277,68139002.95605196,91561895.88938308,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
232,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
233,277,68139002.95605196,314365979.24269015,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
234,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
235,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,885706798.8718863,0.0,0.0
236,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
237,277,68139002.95605196,100357760.6116794,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
238,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
239,277,170074034.65442973,146258540.92140716,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
240,277,68139002.95605196,102748139.74087958,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
241,277,68139002.95605196,227987852.3635665,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
242,277,68139002.95605196,97932167.75940032,126101524.65875304,22315019.656151064,34656811.45862316,0.0,0.0
243,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
244,277,68139002.95605196,125593470.17571664,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
245,277,68139002.95605196,101789339.44957572,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
246,277,68139002.95605196,119111896.40153898,126101524.65875304,22258486.725668453,146038627.35625684,0.0,0.0
247,277,68139002.95605196,99919520.4323078,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
248,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,116258131.70825616,0.0,0.0
249,277,68139002.95605196,296871908.305087,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
250,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,124531923.30138148,0.0,0.0
251,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,110673257.66478036,0.0,0.0
252,277,68139002.95605196,965285785.0087976,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
253,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
254,277,68139002.95605196,90861239.65387692,126101524.65875304,22258486.725668453,38518593.88102419,0.0,0.0
255,277,68139002.95605196,102122267.9436564,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
256,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,95911291.83314364,0.0,0.0
257,277,68139002.95605196,96586705.47247714,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
258,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
259,277,68139002.95605196,90858617.7369056,126101524.65875304,22258486.725668453,115947988.83343343,0.0,0.0
260,277,68139002.95605196,130951531.16788988,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
261,277,68139002.95605196,102692802.91290592,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
262,277,68139002.95605196,90375195.14686204,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
